graph, edges, result, time
G10_10, 4, SAT, 0.00006795s
G10_20, 9, SAT, 0.00011277s
G10_30, 13, SAT, 0.00013900s
G10_40, 18, UNSAT, 0.00010014s
G10_50, 22, UNSAT, 0.00016880s
G10_60, 27, UNSAT, 0.00022006s
G10_70, 31, UNSAT, 0.00025988s
G10_80, 36, UNSAT, 0.00017691s
G10_90, 40, UNSAT, 0.00022602s
G10_100, 45, UNSAT, 0.00023913s
G11_10, 5, SAT, 0.00005913s
G11_20, 11, SAT, 0.00013208s
G11_30, 16, UNSAT, 0.00010610s
G11_40, 22, UNSAT, 0.00020099s
G11_50, 27, UNSAT, 0.00028920s
G11_60, 33, UNSAT, 0.00029993s
G11_70, 38, UNSAT, 0.00035095s
G11_80, 44, UNSAT, 0.00039601s
G11_90, 49, UNSAT, 0.00049806s
G11_100, 55, UNSAT, 0.00032806s
G12_10, 6, SAT, 0.00007796s
G12_20, 13, SAT, 0.00016212s
G12_30, 19, SAT, 0.00026298s
G12_40, 26, UNSAT, 0.00016212s
G12_50, 33, UNSAT, 0.00020885s
G12_60, 39, UNSAT, 0.00031614s
G12_70, 46, UNSAT, 0.00032496s
G12_80, 52, UNSAT, 0.00034189s
G12_90, 59, UNSAT, 0.00040507s
G12_100, 66, UNSAT, 0.00045705s
G13_10, 7, SAT, 0.00010204s
G13_20, 15, SAT, 0.00024199s
G13_30, 23, UNSAT, 0.00022197s
G13_40, 31, UNSAT, 0.00061297s
G13_50, 39, UNSAT, 0.00063300s
G13_60, 46, UNSAT, 0.00034285s
G13_70, 54, UNSAT, 0.00038218s
G13_80, 62, UNSAT, 0.00038815s
G13_90, 70, UNSAT, 0.00107098s
G13_100, 78, UNSAT, 0.00059009s
G14_10, 9, SAT, 0.00013089s
G14_20, 18, SAT, 0.00037885s
G14_30, 27, UNSAT, 0.00018907s
G14_40, 36, UNSAT, 0.00054121s
G14_50, 45, UNSAT, 0.00036907s
G14_60, 54, UNSAT, 0.00043488s
G14_70, 63, UNSAT, 0.00061297s
G14_80, 72, UNSAT, 0.00054789s
G14_90, 81, UNSAT, 0.00067997s
G14_100, 91, UNSAT, 0.00102901s
G15_10, 10, SAT, 0.00013900s
G15_20, 21, UNSAT, 0.00042295s
G15_30, 31, UNSAT, 0.00021386s
G15_40, 42, UNSAT, 0.00048590s
G15_50, 52, UNSAT, 0.00064993s
G15_60, 63, UNSAT, 0.00052190s
G15_70, 73, UNSAT, 0.00088000s
G15_80, 84, UNSAT, 0.00152397s
G15_90, 94, UNSAT, 0.00187206s
G15_100, 105, UNSAT, 0.00097084s
G16_10, 12, SAT, 0.00048113s
G16_20, 24, UNSAT, 0.00098705s
G16_30, 36, UNSAT, 0.00049901s
G16_40, 48, UNSAT, 0.00073195s
G16_50, 60, UNSAT, 0.00053191s
G16_60, 72, UNSAT, 0.00064397s
G16_70, 84, UNSAT, 0.00200105s
G16_80, 96, UNSAT, 0.00088716s
G16_90, 108, UNSAT, 0.00192213s
G16_100, 120, UNSAT, 0.00204206s
G17_10, 13, SAT, 0.00062084s
G17_20, 27, UNSAT, 0.00291705s
G17_30, 40, UNSAT, 0.00065517s
G17_40, 54, UNSAT, 0.00061917s
G17_50, 68, UNSAT, 0.00083590s
G17_60, 81, UNSAT, 0.00112915s
G17_70, 95, UNSAT, 0.00097895s
G17_80, 108, UNSAT, 0.00121999s
G17_90, 122, UNSAT, 0.00244021s
G17_100, 136, UNSAT, 0.00216913s
G18_10, 15, SAT, 0.00066209s
G18_20, 30, UNSAT, 0.00079107s
G18_30, 45, UNSAT, 0.00120306s
G18_40, 61, UNSAT, 0.00093508s
G18_50, 76, UNSAT, 0.00132799s
G18_60, 91, UNSAT, 0.00365782s
G18_70, 107, UNSAT, 0.00191307s
G18_80, 122, UNSAT, 0.00220490s
G18_90, 137, UNSAT, 0.00173593s
G18_100, 153, UNSAT, 0.00191307s
G19_10, 17, SAT, 0.00029206s
G19_20, 34, UNSAT, 0.00063586s
G19_30, 51, UNSAT, 0.00049996s
G19_40, 68, UNSAT, 0.00097585s
G19_50, 85, UNSAT, 0.00199604s
G19_60, 102, UNSAT, 0.00118804s
G19_70, 119, UNSAT, 0.00182891s
G19_80, 136, UNSAT, 0.00167799s
G19_90, 153, UNSAT, 0.00129890s
G19_100, 171, UNSAT, 0.00224209s
G20_10, 19, SAT, 0.00040507s
G20_20, 38, UNSAT, 0.00062108s
G20_30, 57, UNSAT, 0.00097799s
G20_40, 76, UNSAT, 0.00137019s
G20_50, 95, UNSAT, 0.00125003s
G20_60, 114, UNSAT, 0.00127602s
G20_70, 133, UNSAT, 0.00174785s
G20_80, 152, UNSAT, 0.00278211s
G20_90, 171, UNSAT, 0.00222087s
G20_100, 190, UNSAT, 0.00273299s
G21_10, 21, SAT, 0.00199485s
G21_20, 42, UNSAT, 0.00126791s
G21_30, 63, UNSAT, 0.00081086s
G21_40, 84, UNSAT, 0.00157213s
G21_50, 105, UNSAT, 0.00132990s
G21_60, 126, UNSAT, 0.00172114s
G21_70, 147, UNSAT, 0.00356197s
G21_80, 168, UNSAT, 0.00633693s
G21_90, 189, UNSAT, 0.00367117s
G21_100, 210, UNSAT, 0.00243688s
G22_10, 23, SAT, 0.00103593s
G22_20, 46, UNSAT, 0.00077486s
G22_30, 69, UNSAT, 0.00131416s
G22_40, 92, UNSAT, 0.00182700s
G22_50, 115, UNSAT, 0.00247192s
G22_60, 138, UNSAT, 0.00202203s
G22_70, 161, UNSAT, 0.00237489s
G22_80, 184, UNSAT, 0.00370097s
G22_90, 207, UNSAT, 0.00521803s
G22_100, 231, UNSAT, 0.00652885s
G23_10, 25, SAT, 0.00071311s
G23_20, 50, UNSAT, 0.00111008s
G23_30, 75, UNSAT, 0.00113797s
G23_40, 101, UNSAT, 0.00213408s
G23_50, 126, UNSAT, 0.00177097s
G23_60, 151, UNSAT, 0.00234199s
G23_70, 177, UNSAT, 0.00294280s
G23_80, 202, UNSAT, 0.00287700s
G23_90, 227, UNSAT, 0.00340199s
G23_100, 253, UNSAT, 0.00384903s
G24_10, 27, UNSAT, 0.00555491s
G24_20, 55, UNSAT, 0.00098491s
G24_30, 82, UNSAT, 0.00117588s
G24_40, 110, UNSAT, 0.00168800s
G24_50, 138, UNSAT, 0.00192690s
G24_60, 165, UNSAT, 0.00346684s
G24_70, 193, UNSAT, 0.00412989s
G24_80, 220, UNSAT, 0.00399899s
G24_90, 248, UNSAT, 0.00313020s
G24_100, 276, UNSAT, 0.00514412s
G25_10, 30, UNSAT, 0.00240684s
G25_20, 60, UNSAT, 0.00119305s
G25_30, 90, UNSAT, 0.00193000s
G25_40, 120, UNSAT, 0.00155401s
G25_50, 150, UNSAT, 0.00243211s
G25_60, 180, UNSAT, 0.00301909s
G25_70, 210, UNSAT, 0.00376606s
G25_80, 240, UNSAT, 0.00768399s
G25_90, 270, UNSAT, 0.00521803s
G25_100, 300, UNSAT, 0.00430107s
G26_10, 32, UNSAT, 0.00187683s
G26_20, 65, UNSAT, 0.00182295s
G26_30, 97, UNSAT, 0.00148988s
G26_40, 130, UNSAT, 0.00228500s
G26_50, 162, UNSAT, 0.00303411s
G26_60, 195, UNSAT, 0.00404406s
G26_70, 227, UNSAT, 0.00788307s
G26_80, 260, UNSAT, 0.00417209s
G26_90, 292, UNSAT, 0.00445795s
G26_100, 325, UNSAT, 0.00589609s
G27_10, 35, UNSAT, 0.00158882s
G27_20, 70, UNSAT, 0.00155807s
G27_30, 105, UNSAT, 0.00246501s
G27_40, 140, UNSAT, 0.00365496s
G27_50, 175, UNSAT, 0.00323892s
G27_60, 210, UNSAT, 0.00414705s
G27_70, 245, UNSAT, 0.00581789s
G27_80, 280, UNSAT, 0.00916409s
G27_90, 315, UNSAT, 0.00656104s
G27_100, 351, UNSAT, 0.00769091s
G28_10, 37, UNSAT, 0.00142503s
G28_20, 75, UNSAT, 0.00226402s
G28_30, 113, UNSAT, 0.00170088s
G28_40, 151, UNSAT, 0.00411606s
G28_50, 189, UNSAT, 0.00386095s
G28_60, 226, UNSAT, 0.00859904s
G28_70, 264, UNSAT, 0.01044321s
G28_80, 302, UNSAT, 0.00533700s
G28_90, 340, UNSAT, 0.01252604s
G28_100, 378, UNSAT, 0.00704193s
G29_10, 40, UNSAT, 0.00131488s
G29_20, 81, UNSAT, 0.00201488s
G29_30, 121, UNSAT, 0.00201297s
G29_40, 162, UNSAT, 0.00311399s
G29_50, 203, UNSAT, 0.00663090s
G29_60, 243, UNSAT, 0.00656891s
G29_70, 284, UNSAT, 0.00503683s
G29_80, 324, UNSAT, 0.00734615s
G29_90, 365, UNSAT, 0.01161003s
G29_100, 406, UNSAT, 0.00896096s
G30_10, 43, UNSAT, 0.00577998s
G30_20, 87, UNSAT, 0.00219798s
G30_30, 130, UNSAT, 0.00245023s
G30_40, 174, UNSAT, 0.00681090s
G30_50, 217, UNSAT, 0.00482893s
G30_60, 261, UNSAT, 0.00634789s
G30_70, 304, UNSAT, 0.00641084s
G30_80, 348, UNSAT, 0.00790596s
G30_90, 391, UNSAT, 0.00992107s
G30_100, 435, UNSAT, 0.01039004s
G31_10, 46, UNSAT, 0.00261402s
G31_20, 93, UNSAT, 0.00221777s
G31_30, 139, UNSAT, 0.00338793s
G31_40, 186, UNSAT, 0.00711203s
G31_50, 232, UNSAT, 0.00601006s
G31_60, 279, UNSAT, 0.00688195s
G31_70, 325, UNSAT, 0.00786304s
G31_80, 372, UNSAT, 0.00697803s
G31_90, 418, UNSAT, 0.00865507s
G31_100, 465, UNSAT, 0.01255679s
G32_10, 49, UNSAT, 0.00155592s
G32_20, 99, UNSAT, 0.00287104s
G32_30, 148, UNSAT, 0.00464606s
G32_40, 198, UNSAT, 0.00528407s
G32_50, 248, UNSAT, 0.00601697s
G32_60, 297, UNSAT, 0.00932097s
G32_70, 347, UNSAT, 0.00831699s
G32_80, 396, UNSAT, 0.01469278s
G32_90, 446, UNSAT, 0.01311398s
G32_100, 496, UNSAT, 0.01414204s
G33_10, 52, UNSAT, 0.00262308s
G33_20, 105, UNSAT, 0.00230289s
G33_30, 158, UNSAT, 0.00340796s
G33_40, 211, UNSAT, 0.00510097s
G33_50, 264, UNSAT, 0.00709796s
G33_60, 316, UNSAT, 0.00992894s
G33_70, 369, UNSAT, 0.00798702s
G33_80, 422, UNSAT, 0.01145601s
G33_90, 475, UNSAT, 0.01428914s
G33_100, 528, UNSAT, 0.01553893s
G34_10, 56, UNSAT, 0.00208521s
G34_20, 112, UNSAT, 0.00277591s
G34_30, 168, UNSAT, 0.00403500s
G34_40, 224, UNSAT, 0.00619507s
G34_50, 280, UNSAT, 0.00775409s
G34_60, 336, UNSAT, 0.01643395s
G34_70, 392, UNSAT, 0.00987983s
G34_80, 448, UNSAT, 0.01363301s
G34_90, 504, UNSAT, 0.01666689s
G34_100, 561, UNSAT, 0.01851892s
G35_10, 59, UNSAT, 0.00205016s
G35_20, 119, UNSAT, 0.00398493s
G35_30, 178, UNSAT, 0.00557709s
G35_40, 238, UNSAT, 0.00677609s
G35_50, 297, UNSAT, 0.00827217s
G35_60, 357, UNSAT, 0.01077700s
G35_70, 416, UNSAT, 0.01023793s
G35_80, 476, UNSAT, 0.01828599s
G35_90, 535, UNSAT, 0.01637411s
G35_100, 595, UNSAT, 0.02114201s
G36_10, 63, UNSAT, 0.00576997s
G36_20, 126, UNSAT, 0.00300097s
G36_30, 189, UNSAT, 0.00500011s
G36_40, 252, UNSAT, 0.00732994s
G36_50, 315, UNSAT, 0.00968409s
G36_60, 378, UNSAT, 0.01321387s
G36_70, 441, UNSAT, 0.01418805s
G36_80, 504, UNSAT, 0.01451397s
G36_90, 567, UNSAT, 0.01946211s
G36_100, 630, UNSAT, 0.02195001s
G37_10, 66, UNSAT, 0.00345206s
G37_20, 133, UNSAT, 0.00493002s
G37_30, 199, UNSAT, 0.00565481s
G37_40, 266, UNSAT, 0.00830793s
G37_50, 333, UNSAT, 0.01064396s
G37_60, 399, UNSAT, 0.02483606s
G37_70, 466, UNSAT, 0.01589990s
G37_80, 532, UNSAT, 0.02193403s
G37_90, 599, UNSAT, 0.02090979s
G37_100, 666, UNSAT, 0.02463913s
G38_10, 70, UNSAT, 0.00300789s
G38_20, 140, UNSAT, 0.00538802s
G38_30, 210, UNSAT, 0.00664306s
G38_40, 281, UNSAT, 0.01182008s
G38_50, 351, UNSAT, 0.01166487s
G38_60, 421, UNSAT, 0.01723385s
G38_70, 492, UNSAT, 0.01755500s
G38_80, 562, UNSAT, 0.01921201s
G38_90, 632, UNSAT, 0.05379891s
G38_100, 703, UNSAT, 0.02771187s
G39_10, 74, UNSAT, 0.00532007s
G39_20, 148, UNSAT, 0.00608301s
G39_30, 222, UNSAT, 0.00700402s
G39_40, 296, UNSAT, 0.01522398s
G39_50, 370, UNSAT, 0.01619983s
G39_60, 444, UNSAT, 0.02376413s
G39_70, 518, UNSAT, 0.01744199s
G39_80, 592, UNSAT, 0.02096987s
G39_90, 666, UNSAT, 0.02588820s
G39_100, 741, UNSAT, 0.03142905s
G40_10, 78, UNSAT, 0.00329900s
G40_20, 156, UNSAT, 0.00581503s
G40_30, 234, UNSAT, 0.01010704s
G40_40, 312, UNSAT, 0.01077890s
G40_50, 390, UNSAT, 0.01446295s
G40_60, 468, UNSAT, 0.01950598s
G40_70, 546, UNSAT, 0.02045417s
G40_80, 624, UNSAT, 0.02465796s
G40_90, 702, UNSAT, 0.02784896s
G40_100, 780, UNSAT, 0.03982902s
G41_10, 82, UNSAT, 0.00336409s
G41_20, 164, UNSAT, 0.00615883s
G41_30, 246, UNSAT, 0.00875187s
G41_40, 328, UNSAT, 0.01176906s
G41_50, 410, UNSAT, 0.03021216s
G41_60, 492, UNSAT, 0.02024007s
G41_70, 574, UNSAT, 0.02224612s
G41_80, 656, UNSAT, 0.02649808s
G41_90, 738, UNSAT, 0.03727198s
G41_100, 820, UNSAT, 0.04720616s
G42_10, 86, UNSAT, 0.00450897s
G42_20, 172, UNSAT, 0.00763512s
G42_30, 258, UNSAT, 0.01319790s
G42_40, 344, UNSAT, 0.02037287s
G42_50, 430, UNSAT, 0.02191591s
G42_60, 516, UNSAT, 0.02002001s
G42_70, 602, UNSAT, 0.02659512s
G42_80, 688, UNSAT, 0.02905297s
G42_90, 774, UNSAT, 0.04087591s
G42_100, 861, UNSAT, 0.04777384s
G43_10, 90, UNSAT, 0.00474715s
G43_20, 180, UNSAT, 0.00613809s
G43_30, 270, UNSAT, 0.00870895s
G43_40, 361, UNSAT, 0.02107310s
G43_50, 451, UNSAT, 0.01991415s
G43_60, 541, UNSAT, 0.02300501s
G43_70, 632, UNSAT, 0.03375006s
G43_80, 722, UNSAT, 0.03791189s
G43_90, 812, UNSAT, 0.05026507s
G43_100, 903, UNSAT, 0.05425692s
G44_10, 94, UNSAT, 0.00556493s
G44_20, 189, UNSAT, 0.00585890s
G44_30, 283, UNSAT, 0.01179719s
G44_40, 378, UNSAT, 0.03248906s
G44_50, 473, UNSAT, 0.04113889s
G44_60, 567, UNSAT, 0.02181792s
G44_70, 662, UNSAT, 0.02872705s
G44_80, 756, UNSAT, 0.04879022s
G44_90, 851, UNSAT, 0.05107093s
G44_100, 946, UNSAT, 0.06725407s
G45_10, 99, UNSAT, 0.00674009s
G45_20, 198, UNSAT, 0.00755095s
G45_30, 297, UNSAT, 0.01253295s
G45_40, 396, UNSAT, 0.02313113s
G45_50, 495, UNSAT, 0.04582095s
G45_60, 594, UNSAT, 0.02594805s
G45_70, 693, UNSAT, 0.03180408s
G45_80, 792, UNSAT, 0.04763103s
G45_90, 891, UNSAT, 0.05964899s
G45_100, 990, UNSAT, 0.07670689s
G46_10, 103, UNSAT, 0.00534892s
G46_20, 207, UNSAT, 0.01021004s
G46_30, 310, UNSAT, 0.01985192s
G46_40, 414, UNSAT, 0.02438807s
G46_50, 517, UNSAT, 0.03196692s
G46_60, 621, UNSAT, 0.02801204s
G46_70, 724, UNSAT, 0.03727603s
G46_80, 828, UNSAT, 0.05964613s
G46_90, 931, UNSAT, 0.06340003s
G46_100, 1035, UNSAT, 0.07985306s
G47_10, 108, UNSAT, 0.00605392s
G47_20, 216, UNSAT, 0.00867701s
G47_30, 324, UNSAT, 0.01974010s
G47_40, 432, UNSAT, 0.02852702s
G47_50, 540, UNSAT, 0.03782511s
G47_60, 648, UNSAT, 0.03497601s
G47_70, 756, UNSAT, 0.04292703s
G47_80, 864, UNSAT, 0.05401111s
G47_90, 972, UNSAT, 0.07509708s
G47_100, 1081, UNSAT, 0.08461714s
G48_10, 112, UNSAT, 0.00622392s
G48_20, 225, UNSAT, 0.00910401s
G48_30, 338, UNSAT, 0.01450491s
G48_40, 451, UNSAT, 0.02716303s
G48_50, 564, UNSAT, 0.03781009s
G48_60, 676, UNSAT, 0.03434610s
G48_70, 789, UNSAT, 0.05309010s
G48_80, 902, UNSAT, 0.05958915s
G48_90, 1015, UNSAT, 0.08023310s
G48_100, 1128, UNSAT, 0.09808207s
G49_10, 117, UNSAT, 0.00608397s
G49_20, 235, UNSAT, 0.01343703s
G49_30, 352, UNSAT, 0.03018785s
G49_40, 470, UNSAT, 0.02908397s
G49_50, 588, UNSAT, 0.03708887s
G49_60, 705, UNSAT, 0.03716993s
G49_70, 823, UNSAT, 0.05764198s
G49_80, 940, UNSAT, 0.06719804s
G49_90, 1058, UNSAT, 0.08622193s
G49_100, 1176, UNSAT, 0.10460806s
G50_10, 122, UNSAT, 0.00636792s
G50_20, 245, UNSAT, 0.01444697s
G50_30, 367, UNSAT, 0.02619910s
G50_40, 490, UNSAT, 0.03046608s
G50_50, 612, UNSAT, 0.04443884s
G50_60, 735, UNSAT, 0.04190779s
G50_70, 857, UNSAT, 0.05533099s
G50_80, 980, UNSAT, 0.07809305s
G50_90, 1102, UNSAT, 0.09745002s
G50_100, 1225, UNSAT, 0.11507010s
G51_10, 127, UNSAT, 0.00776386s
G51_20, 255, UNSAT, 0.02221704s
G51_30, 382, UNSAT, 0.02160001s
G51_40, 510, UNSAT, 0.03544998s
G51_50, 637, UNSAT, 0.04458904s
G51_60, 765, UNSAT, 0.04973102s
G51_70, 892, UNSAT, 0.06589198s
G51_80, 1020, UNSAT, 0.09535193s
G51_90, 1147, UNSAT, 0.09751081s
G51_100, 1275, UNSAT, 0.12298203s
G52_10, 132, UNSAT, 0.00831389s
G52_20, 265, UNSAT, 0.01861620s
G52_30, 397, UNSAT, 0.02656007s
G52_40, 530, UNSAT, 0.03320503s
G52_50, 663, UNSAT, 0.08675790s
G52_60, 795, UNSAT, 0.05557203s
G52_70, 928, UNSAT, 0.07348704s
G52_80, 1060, UNSAT, 0.08651495s
G52_90, 1193, UNSAT, 0.11309695s
G52_100, 1326, UNSAT, 0.13164306s
